FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,4508.769568,7,64546764.65,0.003921569
1,4508.786208,2,64546780.85,0.029756272
2,4508.80288,1,64546797.63,0.040040013
3,4508.819552,2,64546814.08,0.029134499
4,4508.836192,1,64546830.68,0.038835483
5,4508.852864,2,64546847.41,0.029269811
6,4508.869536,1,64546864.08,0.039283758
7,4508.886208,2,64546880.69,0.029174345
8,4508.902848,1,64546897.34,0.037860902
9,4508.91952,2,64546914.97,0.028391526
10,4508.936192,1,64546930.82,0.038491807
11,4508.952864,2,64546947.49,0.029088011
12,4508.969536,1,64546964.1,0.038183826
13,4508.986176,2,64546980.76,0.028218027
14,4509.002848,1,64546997.58,0.037717288
15,4509.01952,2,64547014.09,0.028485331
16,4509.036192,1,64547030.75,0.038163902
17,4509.052864,2,64547047.4,0.02841643
18,4509.069536,1,64547064.1,0.037161927
19,4509.086176,2,64547080.74,0.027528183
20,4509.102848,1,64547097.4,0.036850625
21,4509.11952,2,64547114.6,0.027646063
22,4509.136192,1,64547130.74,0.036749348
23,4509.152864,2,64547147.38,0.027030931
24,4509.169536,1,64547164.16,0.035567233
25,4509.186176,2,64547180.81,0.02678438
26,4509.202848,1,64547197.64,0.035978151
27,4509.21952,2,64547214.14,0.02720443
28,4509.236192,1,64547230.77,0.036017997
29,4509.252832,2,64547247.59,0.026613372
30,4509.269536,1,64547264.1,0.035449353
31,4509.286176,2,64547280.84,0.026774418
32,4509.302848,1,64547297.45,0.035932493
33,4509.31952,2,64547314.18,0.027123906
34,4509.336192,1,64547330.8,0.035581345
35,4509.352832,2,64547347.56,0.02654115
36,4509.369504,1,64547364.12,0.035272534
37,4509.386176,2,64547380.81,0.026584317
38,4509.402848,1,64547397.84,0.035390414
39,4509.41952,2,64547414.16,0.02690641
40,4509.43616,1,64547430.96,0.035868573
41,4509.452832,2,64547447.53,0.02696203
42,4509.469504,1,64547464.08,0.035363849
43,4509.486176,2,64547480.88,0.026728761
44,4509.502848,1,64547497.51,0.035837027
45,4509.519488,2,64547514.18,0.027250087
46,4509.53616,1,64547530.91,0.036027129
47,4509.552832,2,64547547.47,0.026619183
48,4509.569504,1,64547564.13,0.035557271
49,4509.586176,2,64547580.85,0.027065797
50,4509.602816,1,64547597.48,0.036296093
51,4509.619488,2,64547614.18,0.027417775
52,4509.63616,1,64547630.86,0.035816274
53,4509.652832,2,64547647.46,0.026971991
54,4509.669504,1,64547664.24,0.036024638
55,4509.686176,2,64547681.02,0.027590443
56,4509.702816,1,64547697.83,0.036673806
57,4509.719488,2,64547714.24,0.027431887
58,4509.73616,1,64547731.52,0.035922532
59,4509.752832,2,64547747.64,0.027191978
60,4509.769504,1,64547764.4,0.036589132
61,4509.786144,2,64547780.95,0.027762282
62,4509.802816,1,64547797.59,0.036585811
63,4509.819488,2,64547814.67,0.027433548
64,4509.83616,1,64547830.96,0.03621806
65,4509.852832,2,64547847.95,0.027380419
66,4509.869504,1,64547864.27,0.0363982
67,4509.886144,2,64547880.88,0.027314838
68,4509.902816,1,64547898.18,0.035666019
69,4509.919488,2,64547914.23,0.026849961
70,4509.93616,1,64547930.92,0.035641945
