FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G0-pks
1,4508.786208,2,64546780.85,1.9745624892643474,False
3,4508.819552,2,64546814.08,1.1551722219991285,False
5,4508.852864,2,64546847.41,1.3399869426352007,False
7,4508.886208,2,64546880.69,1.2186876928325412,False
9,4508.91952,2,64546914.97,0.18566531954886106,False
11,4508.952864,2,64546947.49,1.114812017386583,False
13,4508.986176,2,64546980.76,-0.03383941447172605,False
15,4509.01952,2,64547014.09,0.32602216352004093,False
17,4509.052864,2,64547047.4,0.23992956687759873,False
19,4509.086176,2,64547080.74,-0.9329639700146874,False
21,4509.11952,2,64547114.6,-0.771318748064245,False
23,4509.152864,2,64547147.38,-1.5819595072673776,False
25,4509.186176,2,64547180.81,-1.903713790918335,False
27,4509.21952,2,64547214.14,-1.3412825902020635,False
29,4509.252832,2,64547247.59,-2.1200088060232565,False
31,4509.286176,2,64547280.84,-1.9011368315503316,False
33,4509.31952,2,64547314.18,-1.4323179118192373,False
35,4509.352832,2,64547347.56,-2.200049783025023,False
37,4509.386176,2,64547380.81,-2.1375521550032284,False
39,4509.41952,2,64547414.16,-1.7050879825327467,False
41,4509.452832,2,64547447.53,-1.6260841442842486,False
43,4509.486176,2,64547480.88,-1.9302736126023872,False
45,4509.519488,2,64547514.18,-1.2335607368040098,False
47,4509.552832,2,64547547.47,-2.065191934887756,False
49,4509.586176,2,64547580.85,-1.46758999349089,False
51,4509.619488,2,64547614.18,-0.9955207148906924,False
53,4509.652832,2,64547647.46,-1.5816228618698476,False
55,4509.686176,2,64547681.02,-0.7561093290929524,False
57,4509.719488,2,64547714.24,-0.9612387356227633,False
59,4509.752832,2,64547747.64,-1.2742819718959917,False
61,4509.786144,2,64547780.95,-0.5126501109565853,False
63,4509.819488,2,64547814.67,-0.9435239208345568,False
65,4509.852832,2,64547847.95,-1.008836132227735,False
67,4509.886144,2,64547880.88,-1.0906706409736158,False
69,4509.919488,2,64547914.23,-1.7021441679328648,False
71,4509.952832,2,64547947.55,-1.3975012094686396,False
73,4509.986144,2,64547980.89,-1.1049754952701667,False
75,4510.01952,2,64548014.25,-1.57111999668336,False
77,4510.0528,2,64548047.53,-1.0044298675720318,False
79,4510.086144,2,64548080.86,-0.5930013078843007,False
81,4510.119488,2,64548114.62,-1.6625702291391984,False
83,4510.1528,2,64548147.64,-1.2225249853658395,False
85,4510.186144,2,64548180.98,-1.2702755342473682,False
87,4510.219488,2,64548214.34,-1.3664818204139015,False
