FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G0-pks
276,4513.369376,1,64551364.68,0.03446481,
278,4513.40272,1,64551397.99,0.034229882,
280,4513.436032,1,64551431.45,0.034124454,
282,4513.469376,1,64551464.81,0.034595142,
284,4513.50272,1,64551497.98,0.034206638,
286,4513.536032,1,64551531.32,0.034972024,
288,4513.569376,1,64551564.89,0.035183709,
290,4513.60272,1,64551598.02,0.035402866,
292,4513.636032,1,64551631.94,0.03603377,
294,4513.669376,1,64551664.77,0.035231857,
296,4513.702688,1,64551698.04,0.035649416,
298,4513.736032,1,64551731.32,0.035318192,
300,4513.769376,1,64551764.71,0.036254587,
302,4513.802688,1,64551798.12,0.035860271,
304,4513.836032,1,64551831.32,0.036259567,
306,4513.869344,1,64551864.93,0.036366655,
308,4513.902688,1,64551898.06,0.035959888,
310,4513.936032,1,64551931.42,0.035569723,
312,4513.969344,1,64551964.76,0.034813468,
314,4514.002688,1,64551998.0,0.035478408,
316,4514.036032,1,64552031.44,0.03530906,
318,4514.069344,1,64552064.79,0.035595457,
320,4514.102688,1,64552098.06,0.035591307,
322,4514.136032,1,64552131.49,0.035537348,
324,4514.169344,1,64552164.7,0.036189006,
326,4514.202688,1,64552198.04,0.035879364,
328,4514.236,1,64552231.44,0.036039581,
330,4514.269344,1,64552265.04,0.036246285,
332,4514.302688,1,64552298.14,0.036098521,
334,4514.336,1,64552331.51,0.036040411,
336,4514.369344,1,64552364.99,0.036046222,
338,4514.402688,1,64552398.2,0.036288622,
340,4514.436,1,64552431.55,0.036672976,
342,4514.469344,1,64552465.02,0.036413973,
344,4514.502656,1,64552498.15,0.036252096,
346,4514.536,1,64552531.62,0.036017167,
348,4514.569344,1,64552564.97,0.035675151,
350,4514.602656,1,64552598.23,0.036134217,
352,4514.636,1,64552631.5,0.035811293,
354,4514.669344,1,64552664.92,0.03633345,
356,4514.702656,1,64552698.19,0.035895967,
358,4514.736,1,64552731.57,0.036229682,
360,4514.769312,1,64552764.93,0.035993923,
362,4514.802656,1,64552798.8,0.036298584,
364,4514.836,1,64552831.46,0.035842838,
366,4514.869312,1,64552864.78,0.034981156,
368,4514.902656,1,64552898.23,0.035089074,
370,4514.935968,1,64552931.52,0.034908934,
372,4514.969312,1,64552964.84,0.03446232,
374,4515.002656,1,64552998.26,0.034678156,
376,4515.035968,1,64553031.6,0.034507147,
378,4515.069312,1,64553065.01,0.034665704,
380,4515.102656,1,64553098.33,0.035356378,
382,4515.135968,1,64553131.57,0.035078282,
384,4515.169312,1,64553165.02,0.035040926,
386,4515.202656,1,64553198.4,0.0354286,
388,4515.235968,1,64553231.71,0.035214424,
390,4515.269312,1,64553264.81,0.035536518,
392,4515.302624,1,64553298.16,0.035689263,
394,4515.335968,1,64553331.47,0.035645266,
396,4515.369312,1,64553364.9,0.035953247,
398,4515.402624,1,64553398.22,0.03561206,
400,4515.435968,1,64553431.54,0.035174578,
402,4515.469312,1,64553465.0,0.035153824,
404,4515.502624,1,64553498.36,0.034630008,
406,4515.535968,1,64553531.64,0.034898972,
408,4515.56928,1,64553564.98,0.034654082,
410,4515.602624,1,64553598.3,0.034595142,
412,4515.635968,1,64553631.78,0.035108997,
414,4515.66928,1,64553664.99,0.035138882,
416,4515.702624,1,64553698.39,0.03488403,
418,4515.735968,1,64553731.56,0.034605934,
420,4515.76928,1,64553765.0,0.034547824,
422,4515.802624,1,64553798.3,0.033611429,
424,4515.835936,1,64553831.69,0.034322027,
426,4515.86928,1,64553865.11,0.034061364,
428,4515.902624,1,64553898.28,0.034057213,
430,4515.935936,1,64553931.74,0.034127775,
432,4515.96928,1,64553965.04,0.034405871,
434,4516.002592,1,64553998.26,0.034336969,
436,4516.035936,1,64554031.65,0.034410852,
438,4516.06928,1,64554065.02,0.033865451,
440,4516.102592,1,64554098.46,0.034021517,
442,4516.135936,1,64554131.84,0.034513789,
444,4516.16928,1,64554165.08,0.034231542,
446,4516.202592,1,64554198.41,0.034191695,
448,4516.235936,1,64554231.59,0.03391775,
