FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks
1,30034.47988,2,29921682.83,0.00018060448509786553,-0.0003598179406199553,,,,
3,30034.52998,2,29921692.81,-0.0012764027065079037,-0.0009608926298902976,,,,
5,30034.57981,2,29921702.79,-0.0023157890571000317,-0.0017858264913960253,,,,
7,30034.62993,2,29921713.05,-0.0022010825556943725,-0.0015378295249038332,,,,
9,30034.68012,2,29921713.73,-0.0018290561913187758,-0.0014738807301805379,,,,
11,30034.73089,2,29921732.77,-0.0019968639530129756,-0.003377834106992772,,,,
13,30034.78092,2,29921742.74,-0.00225063082982839,-0.0035405896551071736,,,,
15,30034.83144,2,29921752.72,-0.0022168408108283466,-0.002999961374290372,,,,
17,30034.88141,2,29921763.09,-0.0023038028850881215,-0.0017851812643098763,,,,
19,30034.93167,2,29921763.84,-0.0019511920416947076,-0.0016358613249319032,,,,
21,30034.9812,2,29921782.8,-0.0022899132697468128,-0.0023364095559239573,,,,
23,30035.03145,2,29921792.77,-0.002786873558355038,-0.0026699909570524205,,,,
25,30035.08172,2,29921804.36,-0.0025946968966418377,-0.0022721485280848552,,,,
27,30035.13201,2,29921812.85,-0.002548333273741224,-0.0015275092687880854,,,,
29,30035.1819,2,29921813.83,-0.002770182678799027,-0.0013867931789294241,,,,
31,30035.23206,2,29921832.76,-0.0025231531009729247,-0.0003561332582759369,,,,
33,30035.28292,2,29921842.74,-0.0025023965294321826,0.0002146394934053053,,,,
35,30035.33303,2,29921852.71,-0.002719719953357902,0.00011192007634677759,,,,
37,30035.38257,2,29921863.03,-0.0030110943619427594,-0.0003728475092186212,,,,
39,30035.43282,2,29921863.72,-0.0023777457443911465,-0.0003288882630586021,,,,
41,30035.48342,2,29921882.77,-0.0025009690899192166,-0.0005121601849402135,,,,
43,30035.53324,2,29921892.74,-0.0025329713877546567,-0.00017457527463105027,,,,
45,30035.58349,2,29921902.72,-0.0026877986271368892,-0.0004501715318985522,,,,
47,30035.63363,2,29921912.21,-0.0027498517973169045,-7.892695651051662e-05,,,,
49,30035.68356,2,29921923.18,-0.0024700838875574144,-0.0003318415482342352,,,,
51,30035.73375,2,29921933.15,-0.0016994838871326468,-0.0004753743068374172,,,,
53,30035.78382,2,29921943.13,-0.0013513917853284346,-0.0005948362320878087,,,,
55,30035.83401,2,29921946.53,-0.0009568135714422277,-2.7118323753405615e-05,,,,
57,30035.88492,2,29921962.15,-0.0006111232347831008,0.00037553341839874355,,,,
59,30035.93477,2,29921963.48,-0.00035294476467145897,-0.000280266005400015,,,,
61,30035.98461,2,29921982.78,-9.384415043968419e-05,0.00040205640508284013,,,,
63,30036.03498,2,29921992.76,0.0005117366185688477,0.0008549646500795316,,,,
65,30036.08517,2,29922002.71,0.0004624355529987828,0.0011602647298220858,,,,
67,30036.13528,2,29922013.02,0.00020063266348352427,0.0006199276445421342,,,,
69,30036.18529,2,29922013.62,0.0005201689606448429,0.0012780413944717128,,,,
71,30036.23633,2,29922032.73,4.1609455093127856e-05,0.00044473597984281965,,,,
73,30036.28553,2,29922042.72,-2.2849842572808532e-05,-0.00058848859911248,,,,
75,30036.33627,2,29922052.67,-0.0003848279217655709,-0.0025368533421625816,,,,
77,30036.3861,2,29922063.07,-5.021177190912829e-05,-0.00332823424907594,,,,
79,30036.43615,2,29922063.79,5.046761756095919e-05,-0.004078746319620463,,,,
81,30036.48627,2,29922082.72,0.0008036272571978059,-0.005193119553564829,,,,
83,30036.53636,2,29922092.69,0.0010327961575431338,-0.005504448950677199,,,,
85,30036.5873,2,29922102.66,0.0009485003291272165,-0.005611827510725975,,,,
87,30036.63686,2,29922113.02,0.0011711257824690152,-0.0044097192334797974,,,,
89,30036.68692,2,29922113.73,0.0015381995280759342,-0.0036023571187072945,,,,
91,30036.73711,2,29922132.69,0.0017388525764442109,0.00048788183382358907,,,,
93,30036.78767,2,29922142.66,0.0010414819380587526,0.006818881624343742,,,,
95,30036.83754,2,29922152.63,0.0014571956233929428,0.011795623253084558,,,,
97,30036.88785,2,29922163.05,0.0013389796429089246,0.013740920720277189,,,,
99,30036.93851,2,29922163.84,0.001518676007057615,0.01475077402615299,,,,
101,30036.98799,2,29922182.71,0.0018493447262785678,0.01602244517094356,,,,
103,30037.03849,2,29922192.69,0.001680771810999987,0.015314839154879412,,,,
105,30037.08828,2,29922202.66,0.0021383772716389304,0.015446252978192299,,,,
107,30037.13862,2,29922213.0,0.0024807181186010524,0.016046412641112756,,,,
109,30037.18871,2,29922213.7,0.0022206793622808335,0.017160618143872153,,,,
111,30037.23887,2,29922232.79,0.0028486010130616135,0.016878635486701155,,,,
113,30037.28957,2,29922242.73,0.00308415008131524,0.015768343669831153,,,,
115,30037.33912,2,29922252.7,0.0034693235774026637,0.014035612693492627,,,,
117,30037.38964,2,29922263.01,0.0031617145116733802,0.011935448557916506,,,,
119,30037.43955,2,29922263.46,0.0035299898944658042,0.010820590263333485,,,,
121,30037.49007,2,29922282.32,0.004317336736107194,0.008780868809974529,,,,
123,30037.53996,2,29922292.29,0.004116670046913615,0.008521563198070292,,,,
125,30037.59,2,29922302.27,0.004217645837189879,0.007493069427851273,,,,
127,30037.64108,2,29922313.06,0.0038135811172298334,0.007631547499548197,,,,
129,30037.69036,2,29922313.64,0.004003800897316043,0.005989409413391739,,,,
131,30037.74061,2,29922332.71,0.004003472187720139,0.005443481169612185,,,,
133,30037.79077,2,29922342.68,0.0035689349987024083,0.004097216768439993,,,,
