FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,PFC,BLA,Unnamed: 6,Unnamed: 7,PFC-pks,BLA-pks
10655,30301.74424,2,29974847.38,0.002638460047008781,-0.018971707116584496,,,,
10657,30301.79432,2,29974857.35,0.00258790524632789,-0.018476930842871525,,,,
10659,30301.84453,2,29974867.32,0.0032453454468792386,-0.017859311199761918,,,,
10661,30301.8949,2,29974877.3,0.00233861164866353,-0.01811744674299809,,,,
10663,30301.94545,2,29974887.27,0.0016018088516815965,-0.015847104033151455,,,,
10665,30301.99542,2,29974897.24,0.0015584000559341477,-0.012956797635708839,,,,
10667,30302.04529,2,29974907.22,0.0018171592614220078,-0.010777505120949438,,,,
10669,30302.09576,2,29974917.19,0.000890957468145881,-0.010712951063995307,,,,
10671,30302.14605,2,29974927.16,0.00106656367610658,-0.011425607044811853,,,,
10673,30302.19608,2,29974937.14,0.0009590558853048436,-0.012285163648127012,,,,
10675,30302.24608,2,29974947.11,0.001013711095741457,-0.013646288463474987,,,,
10677,30302.29645,2,29974957.08,0.0021277183074171896,-0.013039926085108955,,,,
10679,30302.34632,2,29974967.05,0.0023333555203328,-0.014021287112081088,,,,
10681,30302.39665,2,29974977.03,0.0022545307344890575,-0.013528043148148094,,,,
10683,30302.44732,2,29974987.0,0.002230589949886702,-0.014379878801792118,,,,
10685,30302.49716,2,29974996.97,0.0021341611665266075,-0.015473243686185023,,,,
10687,30302.54698,2,29975006.95,0.0023878473844094056,-0.01622914541919568,,,,
10689,30302.59712,2,29975016.92,0.001999398603535915,-0.016665504623338184,,,,
10691,30302.64771,2,29975026.89,0.002003105823907017,-0.017816432925808923,,,,
10693,30302.69745,2,29975036.87,0.0021915530455233617,-0.01912377195842052,,,,
10695,30302.74849,2,29975046.84,0.0018760052683857303,-0.021623945357616636,,,,
10697,30302.79818,2,29975056.81,0.002068283492494938,-0.023008138764434943,,,,
10699,30302.84809,2,29975066.78,0.002432150717851758,-0.024123507824515306,,,,
10701,30302.89856,2,29975076.76,0.0021882619444568846,-0.022842902188062314,,,,
10703,30302.94839,2,29975086.73,0.0024146091723112467,-0.022632318509838517,,,,
10705,30302.99853,2,29975096.7,0.0030576554014154905,-0.023089472449164095,,,,
10707,30303.04946,2,29975106.68,0.003209858631770368,-0.022947397669880326,,,,
10709,30303.09925,2,29975116.65,0.003415702863376807,-0.021965636840327957,,,,
10711,30303.14918,2,29975126.62,0.002868921096235516,-0.022275237633361755,,,,
10713,30303.19936,2,29975136.6,0.0036253583303471476,-0.02236811672632058,,,,
