FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,PFC,BLA,Unnamed: 6,Unnamed: 7,PFC-pks,BLA-pks
10655,30301.74424,2,29974847.38,0.5795425350154343,-1.6730460133803529,,,False,False
10657,30301.79432,2,29974857.35,0.5656845072798062,-1.63344148906073,,,False,False
10659,30301.84453,2,29974867.32,0.7459013098593736,-1.5840039281359692,,,False,False
10661,30301.8949,2,29974877.3,0.49734841368992366,-1.6046664698604067,,,False,False
10663,30301.94545,2,29974887.27,0.2953768213041683,-1.4229361649869736,,,False,False
10665,30301.99542,2,29974897.24,0.28347764877581644,-1.1915806694017441,,,False,False
10667,30302.04529,2,29974907.22,0.35440844462910287,-1.0171385063758942,,,False,False
10669,30302.09576,2,29974917.19,0.10051900253580909,-1.0119712563390557,,,False,False
10671,30302.14605,2,29974927.16,0.14865598790004375,-1.0690160311662071,,,False,False
10673,30302.19608,2,29974937.14,0.1191860676024505,-1.1378195130806132,,,False,False
10675,30302.24608,2,29974947.11,0.1341680952620605,-1.246771182179369,,,False,False
10677,30302.29645,2,29974957.08,0.4395385571997612,-1.1982347125942627,,,False,False
10679,30302.34632,2,29974967.05,0.4959076094298287,-1.2767880683713728,,,False,False
10681,30302.39665,2,29974977.03,0.4743002436848298,-1.2373061982758318,,,False,False
10683,30302.44732,2,29974987.0,0.4677376214894357,-1.305491654316187,,,False,False
10685,30302.49716,2,29974996.97,0.4413046668279771,-1.3930103945120453,,,False,False
10687,30302.54698,2,29975006.95,0.510844860760445,-1.4535167893389578,,,False,False
10689,30302.59712,2,29975016.92,0.404363697612461,-1.4884453007303076,,,False,False
10691,30302.64771,2,29975026.89,0.4053799168840807,-1.5805717230489889,,,False,False
10693,30302.69745,2,29975036.87,0.4570368671378373,-1.6852180920482727,,,False,False
10695,30302.74849,2,29975046.84,0.37053924893751505,-1.8853452676071776,,,False,False
10697,30302.79818,2,29975056.81,0.423246349485335,-1.9961434694530478,,,False,False
10699,30302.84809,2,29975066.78,0.5229892430022085,-2.0854235408958703,,,False,False
10701,30302.89856,2,29975076.76,0.4561347140436558,-1.9829170551015032,,,False,False
10703,30302.94839,2,29975086.73,0.5181807733543778,-1.966060817548026,,,False,False
10705,30302.99853,2,29975096.7,0.6944519159203906,-2.0026538501361943,,,False,False
10707,30303.04946,2,29975106.68,0.7361737021662487,-1.991281429205167,,,False,False
10709,30303.09925,2,29975116.65,0.79259950213779,-1.9126960711032623,,,False,False
10711,30303.14918,2,29975126.62,0.6427162706281087,-1.93747816512945,,,False,False
10713,30303.19936,2,29975136.6,0.8500700338592067,-1.9449127016893137,,,False,False
10715,30303.25001,2,29975146.57,0.9360170727433815,-1.98377462965746,,,False,False
10717,30303.29966,2,29975156.54,1.146947540426313,-1.968757627070937,,,False,False
10719,30303.34981,2,29975166.51,0.8161321122867508,-1.9510453672342882,,,False,False
10721,30303.40028,2,29975176.49,0.727221977866412,-1.9957859899044423,,,False,False
10723,30303.45014,2,29975186.46,0.6150350350737075,-2.0258622104670874,,,False,False
10725,30303.50153,2,29975196.43,0.6464812023036526,-2.017220066888772,,,False,False
10727,30303.55103,2,29975206.41,0.6556727506417844,-2.051052383809534,,,False,False
10729,30303.60151,2,29975216.38,0.8462219299054314,-2.1778652526736355,,,False,False
10731,30303.65092,2,29975226.35,0.843491498545326,-2.230031747496991,,,False,False
10733,30303.70134,2,29975236.33,0.6415199181294687,-2.1401803430517763,,,False,False
10735,30303.75131,2,29975246.3,0.6694461259401661,-2.180126027649376,,,False,False
10737,30303.80132,2,29975256.27,0.49327736084872803,-2.2610952398133164,,,False,False
10739,30303.85146,2,29975266.24,0.5202101623589769,-2.2881580529369927,,,False,False
10741,30303.90182,2,29975276.22,0.5186433675757659,-2.3738188613760878,,,False,False
10743,30303.9518,2,29975286.19,0.6466301123510644,-2.298033784925302,,,False,False
10745,30304.00246,2,29975296.16,0.6985990188941126,-2.4379337590848245,,,False,False
10747,30304.05252,2,29975306.14,0.8316953411694489,-2.3856318354508597,,,False,False
10749,30304.10222,2,29975316.11,0.7645853416474956,-2.355460140333076,,,False,False
10751,30304.15316,2,29975326.08,0.7166359813767312,-2.403657454547524,,,False,False
10753,30304.20311,2,29975336.06,0.6760102568360637,-2.409942941231656,,,False,False
10755,30304.25331,2,29975346.03,0.6844068651370468,-2.4979851577864562,,,False,False
10757,30304.30312,2,29975356.0,0.6522684115215345,-2.4988340335339947,,,False,False
10759,30304.35337,2,29975365.97,0.6191932938796607,-2.5632136042191833,,,False,False
